Title,Review
Great product,"First impression: Wow... Thanks Flipkart for timely delivery. Now about the phone (I know it's too early to make a statement based on just 1 day of use). But can't stop myself in sharing the pros:- Big screen, amazing camera, super loud and clear speakers,  Dual Sim(five star for providing 2 seperate trays for sim cards), memory card slot(not hybrid but a separate provision for memory card), dual front camera for wide angle pic, exceptionally bright display and all other standard samsung func...READ MORE"
Classy product,"Using this phone for the past 10 days. It's main highlight was the camera, which is absolutely great. with a 16+5mp rear combo you can click some great shots. Low light capability is also very good. Front camera is decent but could have been much better. The Super AMOLED display is awesome and has a good amount of sharpness. In the case of prossesor, the Snapdragon 450 is decent, but not great. They could go with a higher version of chipset considering the price. But It can handle heavy games...READ MORE"
Just okay,if you are a game lover and movie lover then it will disappoint you. I am using this phone from last few days so now I am in a position to put my opinion about this O8 or J8 because both the phones are same. Pros: 1- Decent battery Life 2- Fits easily in the palm unlike other phones which are hard to handle with one hand 3- Renowned Brand satisfaction  4- post purchase customer support. 5- Super Amoled display   Cons: HD+ display in this price range. oooh come on samsung in half of its price ...READ MORE
Super!,"Best AMOLED Display phone at this price range with all basic requirement & performance. Good Camera, Screen Size, Sound Quality & Design. Only two things missing are fast charging facility and 4K Video recording / Slo-mo. But for this price, a Samsung brand with good battery & display is highly recommended. Very much satisfied.READ MORE"
Nice product,good product under 17k with super amoled display.....I always suggest that if you want a mid range good phone with good display then u buy it....READ MORE
Terrific purchase,Good smartphone with best performance. Very light. No heating issues after  1hour of gaming. Best battery life. I recommend to buy this smartphone instead of j8. Value for money with every features loaded.READ MORE
Worth the money,"This device is better than other chinese products. build quality, hardware and softwares are even good. battery backup is even better. i gave 4 star instead of 5 star because of it should have atleast notification led light sensor and quick charging option as well. face unlock is little slow but it doesn't open the device when your eyes would  be close so it is more secure than one plus oppo vivo mi and other chinese devices.READ MORE"
Samsung infinity on 8,Very nice phone and good packing we r fully satisfied with this product thank u flip kartREAD MORE
Terrific purchase,"Galaxy on 8  infinity is really   an awesome smart phone by samsung ,  camera quality is too good, battery backup is also nice ,  appearance of the phone is also premium,  but delievery by  flipkart was was late and also no back case Cover provided in the box, also the Samsung should have given notch  in this phone as other phone in this range have this feature. Overall  the phone provides  full value oh  moneyREAD MORE"
Super!,"its a very nice mobile having stunning performance and the battery backup is also superb,you can click low light selfie,also the display is just awesome. All you can say that the samsung has given a very good fixes and improvement this time in J8 and On 8 ...its totally similar as J8 ,having no difference .READ MORE"
Wonderful,"I brought this phone for 13500/- on offer. Nice look, good camera, display is ok. Camera is better than redmi note5pro in some aspects, because note5pro add some artificial colors. In on8 photos are in natural color. Samsung OS is user friendly. worth for 13500/-. Better than chines brands. classy product. Go for it.READ MORE"
Wonderful,"1st Android based phone I got in 2010 i.e. Samsung Galaxy 3 (Eclair 2.1 OS) and after using it till 2012 end, tried for other brands till 2018 until I got this on8 (2018). The software interface (Samsung Experience) just outperforms Samsung Touchwiz and other top on skin from other manufacturers. I decided to go back to Samsung because of it's real (No delicate and flimsy hardware like low cost phone makers. Other phone makes I tried having heat up issue, screen flickering issue even in moist...READ MORE"
Best in the market!,"Big screen, double camera, sleek body, battery is also good.it's good for me.But a good body cover or flap cover should be there with such #only_on_ Flipkart mobiles.READ MORE"
Just wow!,Mobile - Semma... excellent battery backup...fastly charging... superb camera clarity... ultimate mobile speed...Worth for money...no doubt just go for it... satisfied product...Flipkart - Good Packing and more over quick delivery... extremely satisfied with Flipkart service...READ MORE
Classy product,samsung it is itself another name for trust... i am using this phone for about 5 months and i have not got even a single bug...its wonderful.. i just love it.the back look of phone is glossy and looks very classic. it was above my expectations. and by the way if u are shopping from flipkart then u should  to be relaxed.  if u are searching for a phone in this range then i will highly recommend it to you.READ MORE
Very Good,"Both Cameras are good, .720p display resolution? Resolution can be improved to 1080p in this price range..Display colours are good as compared to other brands..Good Samsung apps..Samsung mall app and its image recognition technology is good for hassle free online shopping..Bought because of Samsung services.Best buy in this range.READ MORE"
Must buy!,its an awesome phone is display and camera is too good and it has a premium design and look don't think just buy it. Samsung  is the best brand.READ MORE
Must buy!,"ITS A PERFECT COMPLETE PACKAGE  FROM SAMSUNG AFTER SOME MORE THAN 3 YEARS IN THIS BUDGET SEGMENT , ONLY HD PLUS BUT SUPER AMOLED DISPLAY LOOKS VERY GOOD AND CAMERA BEST UNDER 18K AMONG ALL MOBILES , POLYCARBONATE  BACK PANEL BUT INFINITY DISPLAY LOOKS PREMIUM INSPITE OF HAVING NO METAL BACK PANEL  , USEFULL TO GRIP IN ONE HAND , FINGERPRINT AUDIO QUALITY BATTERY BACKUP DESCENT  FOR PRACTICAL DAILY USAGE , ONLY THING THAT SAMSUNG COMPROMISED IS PROCESSOR , IT WILL BE MINIMUM  SD636 INSTEAD OF ...READ MORE"
Best in the market!,best phone in the market. Awesome display..... mind-blowing camera........ awesome battery in such a priceREAD MORE
Utterly Disappointed,"Camera quality is low when I was shot in the day time, Portrait  option is not available, when snap the shot ok to  view as same as resolution is ok, when drag the pic it was blur, camera quality is very poor, and then battery backup little bit ok, touch is ok, nothing found good ring tones, key pad is very smooth finger print ok,face lock I am test yet, notification bar light & auto brightness not have this phone sensor is not working properly box contains and two sim slots are working fine ...READ MORE"
Perfect product!,Camera is superb 5/5performance is Good 4.5/5Battery is Good 4/5Speed is also Good 4/5No heatREAD MORE
Really Nice,Awesome phone nice display and a great full camera it supports volte and has a value for moneyREAD MORE
Perfect product!,superb mobile i love it battery good camera good frnt camera jst average but all qualitys is excellentREAD MORE
After 5 days uses,"+ Beautiful display+ S amoled screen+ Decent rear and front camera+ Battery performance good+ Charging  slow+ Heating during live videoCons.+ No notification light??+ Charger cable too short ,you should be stand up with charging board for charging ??+ Price high but low feature+ No fast charging about 3hrs to full charge with swithed off mode and more than 3hrs to ON mode+  Average Finger and face unlock , not quickly+Over all rate 4/5READ MORE"
Great product,Phone looks and build quality are good. Pictures and Videos taken by front and rear cameras are good. Battery performance is decent. Overall performance of the phone is nice. Happy with the purchase. Thanks Flipkart for providing good products at best price.READ MORE
Highly recommended,I am using Honor 7X mobile before 6 months but compare to these phone is not better then Honor 7X  and i will not expected these type off phone from Samsung company1.Body : plastic body  (  very bad quality )  (((  1 star  )))2.Screen : Super AMOLED display ( It will not feel very good )  ((( 2 Star  )))3.Camera : 16MP + 5MP >> Secondary Camera 16MP (  superb and nice shots front and back also ) ((( 5 star )))4.Finger print sensor : not good it will take some time to open the device (((  ...READ MORE
Excellent,"excellent mobile, camera superb all mobile works perfectly . I loved it so much.READ MORE"
Terrific,"Awesome mobile, attractive blue colour, great performance, lovely mobile.. Thank you flipkart.READ MORE"
Don't waste your money,"After used 3 monthsThis phone Samsung on8 2018 4gb is not good as old on8 3gb.Its removed too much old useful features like long screenshot,automatic memory clean,s secure doesn't work properly if you lock any app by notifications anyone can open your locked app.Kine master or other video Editor app doesn't work perfectly main issue after edit video screen size will be small and video quality will be low.Display quality is cery low as campared old samsung phone like j7 or on8 or on max....READ MORE"
Terrific,since jan19 using this phone. till now i have not seen any hang issue. camera's output fantastic! enough loudness you can get in speaker phone but  phone speakers mounting system samsung given top right side area. that is not good. old type was ok. otherwise I will gv 9/10. 100% value for money...READ MORE
Delightful,"Nice Camera Good performance Display is very good ,nice battery back up and fast charging I love for samasungREAD MORE"
Worth the money,overall nice phone especially when you get awesome deal.. I got this one for 12999 in a great offer by flipkart.. using for about a month now and didn't find any reason to complain l. battery backup is excellent.. camera could have been better not up to samsung standards.. doesn't seem like 16MP but not an issue for me personally. I would recommend it for sure. great service and great offer by flipkart.. thanks.READ MORE
Perfect product!,A dream mobile for me. With combination of discounts I got it at less than 12K rupees. Good packing & timely delivery by flipkart. ??                                                    After using it for one week my review - Mobile has elegant look & design. Both front & back cameras are excellent. Good picture quality even in dark. With 4 gb ram & 64 gb storage capacity phone performance is awesome. No lagging at all. Battery is enough for one day with video streaming & normal use. Screen di...READ MORE
Classy product,the best phone ever in affordable price also Samsung is best and flipkart is superbREAD MORE
Simply awesome,"First of all... my sincere thanks to Flipkart for bang on time delivery and for giving the offer for which I bought in huge discount. The best thing about the phone is its battery. the 100% charging was completed at 2.50 a.m. and it's 9:00 a.m. but the battery is still bang on 100%, even after taking some cells and playing some music (though it's just a very less than a normal usage). super AMOLED screen is just mindblowing and camera is just excellent!... fingerprint scanner is very fast and...READ MORE"
Worth every penny,greatest phone superb display quality. smooth phone . camera is so good quality. nice battery backup. I'm so happy this phone.  thanku FlipkartREAD MORE
Wonderful Mobile,Look : Mobile is very decent looking specially the blue color. It is very slim and fits very easily in hand.Display : Display is good and vibrant only thing is sunlight visibility is a bit less.Battery : Battery back up is awesome. Battery remains for more than 2 days for moderate use.Camera : Camera quality is superb and one can click background blur images very easily. Front and rear camera both give clear pictures and both offer background blur images.Connectivity : 4G connectivity is ...READ MORE
Simply awesome,"Samsung has always been the top phone and no Chinese made phone can be compaired to it...now coming to Samsung on8 its the best phone in this price range no lags, battery is also good,no heating issues...I would 100 percent recommend it to all who want a phone in budget..READ MORE"
Excellent phone,"Excellent phone, no comparison for camera, auto brightness adjustment is available after system update, excellent speed, performance, good battery backup, a must have phone, have referred to many friends.Fast charging is also available in this phone.READ MORE"
Must buy!,nice phone nice camera but selfi camera not focus After update both sim card is 4G.  improve selfi camera next update.  battery nice.   quick charge  support.  overall better phoneREAD MORE
Terrific purchase,Ordered this mobile for my father who is conversant with android and using an old version of it that was making his earlier samsung smartphone  slow. he is happy with the new android interface and the customization possible on this dual sim volte mobile. Impressed with the RAM and the ROM..although a 5000Mah battery would be nice on a big screened mobile such as this still for its features and brand..the price is reasonable and there is no lag with many apps open simultaneously.READ MORE
Perfect product!,aftr using 3 4 days ..m  finally writing the review about this phone  camera is super duper good ..display is amazing its not fhd but hd with amoled display is owsm ..bettry life is good ..some peope just sayiing that there is no.auto brightness..but it has auto brightness feature ..performance is good.. over all i just loved it..thankew flipkartREAD MORE
Nice product and flipkart service,I have bought this phone on the month of October. I received the delivery within 7 days and it was well packed and all the accessories and handset was nicely packed. The phone is superb and smooth to use.READ MORE
Good phone with some hidden good and bad in it,"Hello,I buy this phone and then i puzzled that is it on8 or j8,on the box its on8 written but inside settings it says j8,maybe flipkart gave a easily phone masking it as a """"E xclusively available on flipkart"".A cheap marketing strategy by both samsung and flipkart,atleast they should be fair what they are selling,now coming to phone,Pros:Battery is good even for heavy gamers, lasts one and a half day with normal use.Screen: I didnt found any difference ,yeah it has low pixel density bu...READ MORE"
Pretty good,"first of all I would say thank you to flipkart for quick delivery  really impressed with it.display is verygood only auto brightness sensor  would be good and processor should be atleast 636,at this present trend of mobile world...phone is over priced  if we compare with other brands for this configuration.overall this phone is good for daily  use not for gamers....READ MORE"
Classy product,"First of all big thumbs up for flipkart delivery, got this phone in two days... I really like the phone design even though the phone is made up of plastic.. the huge screen looks really great and I don't mind the plastic build bec I will buy a case soon and I don't have to bother abt the plastic back. The camera look great, I took few pics and it looks good, only downside is there is no slow motion...the front camera is also great. phone has really good battery life but don't have fast charge...READ MORE"
Nice product,"Good Phone, Camera has the Usual Samsung Finish and performance over all a good phoen worth the money except the Samsung Bloatware which comes with the OS It got SD card slot a big plus now a days and is twin SIMREAD MORE"
Must buy!,"fabulous looking awesome galaxy on8 I love it use....no hang problem, no heat and other good feature. Thank You, FlipkartREAD MORE"
Value-for-money,"Hi,I've been using this phone for last 4 days, must say that it's value for money. best featured phone available  in this price range which is non Chinese. camera is very good.....battery last 1 day with normal usage.....screen fabulous...I find only one thing which is missing is fast charging which is available in Moto phones at this price range.....over all goodREAD MORE"
Mind-blowing purchase,its really very awesome phone but price is little higher ..  otherwise all features is best but  front camera not looks like 16 mp .its look like 8 mpREAD MORE
Great product,"Thanks to flipkart, Best Camera and Best display with the best price by flpkart 13000 Rs, Best from any chinese brand in this RangeREAD MORE"
Good,"I'm using this phone almost over a month now. Not at all satisfied. Lots of cons are there...1st, There's NO PROXIMITY SENSOR, which is quite frustrating. while calling each time the display goes black and u have to manually unlock it with the power button. 2nd, The display is visibly pixelated, not a full HD display. my previous Samsung Galaxy J7 had way better crisp display. 3rd, The camera quality in outdoor light, both front and rear is average. in indoor or low light it's BAD. For me, NO...READ MORE"
Samsung infinity on 8,Very nice phone nice delhivery we r satisfied with this product thank uREAD MORE
Wonderful,Nice Mobile With Awesome Price.. Colour is Very Nice Is Blue. perfect Mobile with Perfect PriceThankyou Flipkart ????Thankyou Samsung ????READ MORE
Terrific,Awesome product good battery backup osm camera all things are superb in this phone I am compare this against mi 5 pro on 8 better than mi 5pro awesome phone phone guys please buy thisREAD MORE
Just wow!,"best in class in this price and the camera are also pretty good , screen are perfect for movie and game's also fully HD display are comes overall performance are best and go for it.READ MORE"
Terrific,This on8 is very good display and nice performance no heating problem value for money  and important is flipcart is very good service now just go for itREAD MORE
Good choice,Excellence in the price. Feels really good in the hand. And the rear camera is good compared to the front. Nice display but missing fullhd screen.very good ui by Samsung. It's really elegant brand phone.READ MORE
Unsatisfactory,"Not good product Plz don't buy it, its price is too high and don't have any good features I using it but I don't satisfy the price and product both are not goodREAD MORE"
Awesome,Am using this since 1and half year...very good product than other mobiles..battery back up is very good but camera is not so good ..overall performance is niceREAD MORE
Fair,Worked well for 6 months. Now it's like using a 2-3 year old phone.  Camera is good but only in daylight. Battery performance is ordinary.  Without much net usage (except whatsapp) it gets exhausted in 10 hours. Many a times its touch functions do not work properly.   Overall i have rated 3 (due to features) but not satisfied considering the brand like Samsung.READ MORE
Wonderful,overall this product is good and display compared to others it is awesome and product works well . battery backup is good .READ MORE
Highly recommended,i purchase this 13000 only so it is good for this range camera is good battery is also good and after updating one ui is amazing screen is not full hd but amoled display are goodREAD MORE
